,sech_kwd
0,비비고만두
1,어묵
2,고메핫도그
3,핫도그
6,돼지등갈비
8,요플레
10,우유
12,대파
14,거봉2kg
16,초코렛
18,꿀
20,과일세제
22,수박
32,쓰레기봉투
33,치약
34,술 소주
35,간장
36,캘ㄹ로그
37,설탕
38,3배식초
39,쓰레기봉투 100
41,중력분밀가루
42,오랄비치솔
45,쓰레기봉투10
48,쓰레기
49,샐러드
50,양상추
51,키친타올
52,몽고간장
53,소고기샤브샤브
55,청주
58,소주
59,식초
60,캘로그
61,샐러드 양상추
62,감자
63,케첩
64,치솔
65,2배식초
66,첫구매
68,첫구매 짜파게티
69,삼다수 첫구매
70,곤약
73,오이
74,포도
76,월남쌈소스
77,요구르트
78,기장
79,청정원월남쌈소스
80,섬유유연제리필
81,팥
83,렌틸콩
84,삼다수
85,칠리소스
86,라이스페이퍼
87,소고기국거리
88,적두
90,갈치
92,시금치
95,생선구이
99,어간장
104,장조림용소고기
105,월남쌈 라이스페이퍼
106,섬유유연제리필생수
113,음료수
114,생수
115,열무
118,검은콩
121,오징어
130,포카리스웨트
132,고구마
133,후추
138,생선
140,맛술
149,애경스파크
150,냉동생선
151,한천
153,깐녹두
155,황태포
156,깐녹두500g
158,부침가루
160,야채
162,청양고추
164,하림닭봉윙
166,수입캔 맥주
168,레몬즙원액
170,닭발
172,생수500ml
174,생닭윙
176,각휴지
178,해표식용유
180,부추한단
182,하몽베리코데벨타햄슬라이스
184,쌀 10kg
186,한끼 부추
188,국물용멸치
192,롯데아이시스200l
194,캔맥주
196,병맥주
198,디포리
200,롯데아이시스0.2
204,동원닭발
206,파프리카
208,쥐포
210,국물용새우
212,샤인머스켓
214,부추전
216,고구마줄기
218,오뚜기국수
220,부추
222,맛살
234,올리브
238,두부
240,고구마순
244,햄
248,생닭봉
252,식용유
254,롯데아이시스200
266,전복
268,생수2L
274,레몬즙
278,두루마리휴지
280,영양부추
286,살구
292,하림생닭
298,참소주
312,하몽
316,클라우드캔맥주
326,닭봉윙
336,메론
342,하림닭봉
